Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
05/04/2025 12:40:00,01/04/2025,"SAP, Actual Day",3.4062,05/04/2025 12:41:01,L
05/04/2025 12:40:00,02/04/2025,"SAP, Actual Day",3.4045,05/04/2025 12:41:01,L
05/04/2025 12:40:00,03/04/2025,"SAP, Actual Day",3.3069,05/04/2025 12:41:01,L
05/04/2025 12:40:00,04/04/2025,"SAP, Actual Day",3.0876,05/04/2025 12:41:01,L
01/04/2025 12:40:00,01/03/2025,"SAP, Actual Day",3.7508,01/04/2025 12:41:01,L
01/04/2025 12:40:00,02/03/2025,"SAP, Actual Day",3.7609,01/04/2025 12:41:01,L
01/04/2025 12:40:00,03/03/2025,"SAP, Actual Day",3.7414,01/04/2025 12:41:01,L
01/04/2025 12:40:00,04/03/2025,"SAP, Actual Day",3.5537,01/04/2025 12:41:01,L
01/04/2025 12:40:00,05/03/2025,"SAP, Actual Day",3.4188,01/04/2025 12:41:01,L
01/04/2025 12:40:00,06/03/2025,"SAP, Actual Day",3.3041,01/04/2025 12:41:01,L
01/04/2025 12:40:00,07/03/2025,"SAP, Actual Day",3.2715,01/04/2025 12:41:01,L
01/04/2025 12:40:00,08/03/2025,"SAP, Actual Day",3.1979,01/04/2025 12:41:01,L
01/04/2025 12:40:00,09/03/2025,"SAP, Actual Day",3.2591,01/04/2025 12:41:01,L
01/04/2025 12:40:00,10/03/2025,"SAP, Actual Day",3.3888,01/04/2025 12:41:01,L
01/04/2025 12:40:00,11/03/2025,"SAP, Actual Day",3.6319,01/04/2025 12:41:01,L
01/04/2025 12:40:00,12/03/2025,"SAP, Actual Day",3.6393,01/04/2025 12:41:01,L
01/04/2025 12:40:00,13/03/2025,"SAP, Actual Day",3.5757,01/04/2025 12:41:01,L
01/04/2025 12:40:00,14/03/2025,"SAP, Actual Day",3.5781,01/04/2025 12:41:01,L
01/04/2025 12:40:00,15/03/2025,"SAP, Actual Day",3.6528,01/04/2025 12:41:01,L
01/04/2025 12:40:00,16/03/2025,"SAP, Actual Day",3.6339,01/04/2025 12:41:01,L
01/04/2025 12:40:00,17/03/2025,"SAP, Actual Day",3.5608,01/04/2025 12:41:01,L
01/04/2025 12:40:00,18/03/2025,"SAP, Actual Day",3.3857,01/04/2025 12:41:01,L
01/04/2025 12:40:00,19/03/2025,"SAP, Actual Day",3.5744,01/04/2025 12:41:01,L
01/04/2025 12:40:00,20/03/2025,"SAP, Actual Day",3.4325,01/04/2025 12:41:01,L
01/04/2025 12:40:00,21/03/2025,"SAP, Actual Day",3.5578,01/04/2025 12:41:01,L
01/04/2025 12:40:00,22/03/2025,"SAP, Actual Day",3.5799,01/04/2025 12:41:01,L
01/04/2025 12:40:00,23/03/2025,"SAP, Actual Day",3.6238,01/04/2025 12:41:01,L
01/04/2025 12:40:00,24/03/2025,"SAP, Actual Day",3.5315,01/04/2025 12:41:01,L
01/04/2025 12:40:00,25/03/2025,"SAP, Actual Day",3.447,01/04/2025 12:41:01,L
01/04/2025 12:40:00,26/03/2025,"SAP, Actual Day",3.3312,01/04/2025 12:41:01,L
01/04/2025 12:40:00,27/03/2025,"SAP, Actual Day",3.3235,01/04/2025 12:41:01,L
01/04/2025 12:40:00,28/03/2025,"SAP, Actual Day",3.2834,01/04/2025 12:41:01,L
01/04/2025 12:40:00,29/03/2025,"SAP, Actual Day",3.2709,01/04/2025 12:41:01,L
01/04/2025 12:40:00,30/03/2025,"SAP, Actual Day",3.2439,01/04/2025 12:41:01,L
01/04/2025 12:40:00,31/03/2025,"SAP, Actual Day",3.2577,01/04/2025 12:41:01,L
03/03/2025 11:40:00,01/02/2025,"SAP, Actual Day",4.5587,03/03/2025 11:41:00,L
03/03/2025 11:40:00,02/02/2025,"SAP, Actual Day",4.5719,03/03/2025 11:41:00,L
03/03/2025 11:40:00,03/02/2025,"SAP, Actual Day",4.6029,03/03/2025 11:41:00,L
03/03/2025 11:40:00,04/02/2025,"SAP, Actual Day",4.5665,03/03/2025 11:41:00,L
03/03/2025 11:40:00,05/02/2025,"SAP, Actual Day",4.5794,03/03/2025 11:41:00,L
03/03/2025 11:40:00,06/02/2025,"SAP, Actual Day",4.627,03/03/2025 11:41:00,L
03/03/2025 11:40:00,07/02/2025,"SAP, Actual Day",4.7141,03/03/2025 11:41:00,L
03/03/2025 11:40:00,08/02/2025,"SAP, Actual Day",4.8027,03/03/2025 11:41:00,L
03/03/2025 11:40:00,09/02/2025,"SAP, Actual Day",4.7429,03/03/2025 11:41:00,L
03/03/2025 11:40:00,10/02/2025,"SAP, Actual Day",4.8829,03/03/2025 11:41:00,L
03/03/2025 11:40:00,11/02/2025,"SAP, Actual Day",4.9255,03/03/2025 11:41:00,L
03/03/2025 11:40:00,12/02/2025,"SAP, Actual Day",4.7769,03/03/2025 11:41:00,L
03/03/2025 11:40:00,13/02/2025,"SAP, Actual Day",4.496,03/03/2025 11:41:00,L
03/03/2025 11:40:00,14/02/2025,"SAP, Actual Day",4.2983,03/03/2025 11:41:00,L
03/03/2025 11:40:00,15/02/2025,"SAP, Actual Day",4.2546,03/03/2025 11:41:00,L
03/03/2025 11:40:00,16/02/2025,"SAP, Actual Day",4.2822,03/03/2025 11:41:00,L
03/03/2025 11:40:00,17/02/2025,"SAP, Actual Day",4.1504,03/03/2025 11:41:00,L
