Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
30/09/2024 17:11:45,01/10/2024,"Demand - Cold, (excluding interconnector and storage)",179.481635304091,30/09/2024 16:11:46,
30/09/2024 17:11:45,02/10/2024,"Demand - Cold, (excluding interconnector and storage)",182.100387603636,30/09/2024 16:11:46,
30/09/2024 17:11:45,03/10/2024,"Demand - Cold, (excluding interconnector and storage)",185.148631474091,30/09/2024 16:11:46,
30/09/2024 17:11:45,04/10/2024,"Demand - Cold, (excluding interconnector and storage)",184.839756692182,30/09/2024 16:11:46,
30/09/2024 17:11:45,05/10/2024,"Demand - Cold, (excluding interconnector and storage)",171.7671562,30/09/2024 16:11:46,
30/09/2024 17:11:45,06/10/2024,"Demand - Cold, (excluding interconnector and storage)",172.29845553,30/09/2024 16:11:46,
30/09/2024 17:11:45,07/10/2024,"Demand - Cold, (excluding interconnector and storage)",195.638664282273,30/09/2024 16:11:46,
30/09/2024 17:11:45,08/10/2024,"Demand - Cold, (excluding interconnector and storage)",198.127133394545,30/09/2024 16:11:46,
30/09/2024 17:11:45,09/10/2024,"Demand - Cold, (excluding interconnector and storage)",201.075639188545,30/09/2024 16:11:46,
30/09/2024 17:11:45,10/10/2024,"Demand - Cold, (excluding interconnector and storage)",204.171955996636,30/09/2024 16:11:46,
30/09/2024 17:11:45,11/10/2024,"Demand - Cold, (excluding interconnector and storage)",204.772802436364,30/09/2024 16:11:46,
30/09/2024 17:11:45,12/10/2024,"Demand - Cold, (excluding interconnector and storage)",190.347560041091,30/09/2024 16:11:46,
30/09/2024 17:11:45,13/10/2024,"Demand - Cold, (excluding interconnector and storage)",190.725806658,30/09/2024 16:11:46,
30/09/2024 17:11:45,14/10/2024,"Demand - Cold, (excluding interconnector and storage)",215.232945428364,30/09/2024 16:11:46,
30/09/2024 17:11:45,15/10/2024,"Demand - Cold, (excluding interconnector and storage)",217.959390118182,30/09/2024 16:11:46,
30/09/2024 17:11:45,16/10/2024,"Demand - Cold, (excluding interconnector and storage)",220.602364253091,30/09/2024 16:11:46,
30/09/2024 17:11:45,17/10/2024,"Demand - Cold, (excluding interconnector and storage)",222.612148566,30/09/2024 16:11:46,
30/09/2024 17:11:45,18/10/2024,"Demand - Cold, (excluding interconnector and storage)",222.197082347273,30/09/2024 16:11:46,
30/09/2024 17:11:45,19/10/2024,"Demand - Cold, (excluding interconnector and storage)",207.494605180455,30/09/2024 16:11:46,
30/09/2024 17:11:45,20/10/2024,"Demand - Cold, (excluding interconnector and storage)",207.039256669636,30/09/2024 16:11:46,
30/09/2024 17:11:45,21/10/2024,"Demand - Cold, (excluding interconnector and storage)",231.580794459091,30/09/2024 16:11:46,
30/09/2024 17:11:45,22/10/2024,"Demand - Cold, (excluding interconnector and storage)",233.903035982727,30/09/2024 16:11:46,
30/09/2024 17:11:45,23/10/2024,"Demand - Cold, (excluding interconnector and storage)",236.479247585273,30/09/2024 16:11:46,
30/09/2024 17:11:45,24/10/2024,"Demand - Cold, (excluding interconnector and storage)",239.346918708273,30/09/2024 16:11:46,
30/09/2024 17:11:45,25/10/2024,"Demand - Cold, (excluding interconnector and storage)",239.167902787273,30/09/2024 16:11:46,
30/09/2024 17:11:45,26/10/2024,"Demand - Cold, (excluding interconnector and storage)",223.007415116727,30/09/2024 16:11:46,
30/09/2024 17:11:45,27/10/2024,"Demand - Cold, (excluding interconnector and storage)",223.256070227636,30/09/2024 16:11:46,
30/09/2024 17:11:45,28/10/2024,"Demand - Cold, (excluding interconnector and storage)",249.423902438182,30/09/2024 16:11:46,
30/09/2024 17:11:45,29/10/2024,"Demand - Cold, (excluding interconnector and storage)",251.395892101818,30/09/2024 16:11:46,
30/09/2024 17:11:45,30/10/2024,"Demand - Cold, (excluding interconnector and storage)",253.029426647273,30/09/2024 16:11:46,
30/09/2024 17:11:45,31/10/2024,"Demand - Cold, (excluding interconnector and storage)",255.403235049455,30/09/2024 16:11:46,
30/09/2024 17:11:45,01/11/2024,"Demand - Cold, (excluding interconnector and storage)",254.062296927273,30/09/2024 16:11:46,
30/09/2024 17:11:45,02/11/2024,"Demand - Cold, (excluding interconnector and storage)",236.089598880182,30/09/2024 16:11:46,
30/09/2024 17:11:45,03/11/2024,"Demand - Cold, (excluding interconnector and storage)",234.862202815545,30/09/2024 16:11:46,
30/09/2024 17:11:45,04/11/2024,"Demand - Cold, (excluding interconnector and storage)",260.969388419091,30/09/2024 16:11:46,
30/09/2024 17:11:45,05/11/2024,"Demand - Cold, (excluding interconnector and storage)",262.666394656909,30/09/2024 16:11:46,
30/09/2024 17:11:45,06/11/2024,"Demand - Cold, (excluding interconnector and storage)",263.298664454818,30/09/2024 16:11:46,
30/09/2024 17:11:45,07/11/2024,"Demand - Cold, (excluding interconnector and storage)",264.862982394364,30/09/2024 16:11:46,
30/09/2024 17:11:45,08/11/2024,"Demand - Cold, (excluding interconnector and storage)",264.124243480273,30/09/2024 16:11:46,
30/09/2024 17:11:45,09/11/2024,"Demand - Cold, (excluding interconnector and storage)",246.469942408,30/09/2024 16:11:46,
30/09/2024 17:11:45,10/11/2024,"Demand - Cold, (excluding interconnector and storage)",245.830740167273,30/09/2024 16:11:46,
30/09/2024 17:11:45,11/11/2024,"Demand - Cold, (excluding interconnector and storage)",274.474914936,30/09/2024 16:11:46,
30/09/2024 17:11:45,12/11/2024,"Demand - Cold, (excluding interconnector and storage)",277.579763059364,30/09/2024 16:11:46,
30/09/2024 17:11:45,13/11/2024,"Demand - Cold, (excluding interconnector and storage)",280.051853336818,30/09/2024 16:11:46,
30/09/2024 17:11:45,14/11/2024,"Demand - Cold, (excluding interconnector and storage)",283.263130401364,30/09/2024 16:11:46,
30/09/2024 17:11:45,15/11/2024,"Demand - Cold, (excluding interconnector and storage)",283.839026801818,30/09/2024 16:11:46,
