Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
30/09/2024 17:11:45,01/10/2024,"Demand - Warm, (excluding interconnector and storage)",110.114089329091,30/09/2024 16:11:46,
30/09/2024 17:11:45,02/10/2024,"Demand - Warm, (excluding interconnector and storage)",110.435812203636,30/09/2024 16:11:46,
30/09/2024 17:11:45,03/10/2024,"Demand - Warm, (excluding interconnector and storage)",111.336310078091,30/09/2024 16:11:46,
30/09/2024 17:11:45,04/10/2024,"Demand - Warm, (excluding interconnector and storage)",108.797338928182,30/09/2024 16:11:46,
30/09/2024 17:11:45,05/10/2024,"Demand - Warm, (excluding interconnector and storage)",97.6024816865454,30/09/2024 16:11:46,
30/09/2024 17:11:45,06/10/2024,"Demand - Warm, (excluding interconnector and storage)",96.3563108313636,30/09/2024 16:11:46,
30/09/2024 17:11:45,07/10/2024,"Demand - Warm, (excluding interconnector and storage)",112.936934766818,30/09/2024 16:11:46,
30/09/2024 17:11:45,08/10/2024,"Demand - Warm, (excluding interconnector and storage)",113.279463204364,30/09/2024 16:11:46,
30/09/2024 17:11:45,09/10/2024,"Demand - Warm, (excluding interconnector and storage)",113.772613040545,30/09/2024 16:11:46,
30/09/2024 17:11:45,10/10/2024,"Demand - Warm, (excluding interconnector and storage)",114.716732719727,30/09/2024 16:11:46,
30/09/2024 17:11:45,11/10/2024,"Demand - Warm, (excluding interconnector and storage)",112.907744307727,30/09/2024 16:11:46,
30/09/2024 17:11:45,12/10/2024,"Demand - Warm, (excluding interconnector and storage)",101.030005393091,30/09/2024 16:11:46,
30/09/2024 17:11:45,13/10/2024,"Demand - Warm, (excluding interconnector and storage)",100.142384268545,30/09/2024 16:11:46,
30/09/2024 17:11:45,14/10/2024,"Demand - Warm, (excluding interconnector and storage)",117.485806868364,30/09/2024 16:11:46,
30/09/2024 17:11:45,15/10/2024,"Demand - Warm, (excluding interconnector and storage)",118.518447572545,30/09/2024 16:11:46,
30/09/2024 17:11:45,16/10/2024,"Demand - Warm, (excluding interconnector and storage)",120.227807044545,30/09/2024 16:11:46,
30/09/2024 17:11:45,17/10/2024,"Demand - Warm, (excluding interconnector and storage)",121.310135335636,30/09/2024 16:11:46,
30/09/2024 17:11:45,18/10/2024,"Demand - Warm, (excluding interconnector and storage)",119.846330077455,30/09/2024 16:11:46,
30/09/2024 17:11:45,19/10/2024,"Demand - Warm, (excluding interconnector and storage)",109.810319631818,30/09/2024 16:11:46,
30/09/2024 17:11:45,20/10/2024,"Demand - Warm, (excluding interconnector and storage)",109.431862610727,30/09/2024 16:11:46,
30/09/2024 17:11:45,21/10/2024,"Demand - Warm, (excluding interconnector and storage)",127.777147881818,30/09/2024 16:11:46,
30/09/2024 17:11:45,22/10/2024,"Demand - Warm, (excluding interconnector and storage)",129.627157796727,30/09/2024 16:11:46,
30/09/2024 17:11:45,23/10/2024,"Demand - Warm, (excluding interconnector and storage)",131.574631668727,30/09/2024 16:11:46,
30/09/2024 17:11:45,24/10/2024,"Demand - Warm, (excluding interconnector and storage)",133.813242252818,30/09/2024 16:11:46,
30/09/2024 17:11:45,25/10/2024,"Demand - Warm, (excluding interconnector and storage)",132.730741767727,30/09/2024 16:11:46,
30/09/2024 17:11:45,26/10/2024,"Demand - Warm, (excluding interconnector and storage)",121.452011054182,30/09/2024 16:11:46,
30/09/2024 17:11:45,27/10/2024,"Demand - Warm, (excluding interconnector and storage)",121.646005008,30/09/2024 16:11:46,
30/09/2024 17:11:45,28/10/2024,"Demand - Warm, (excluding interconnector and storage)",141.074644280727,30/09/2024 16:11:46,
