Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
01/04/2025 15:00:00,02/04/2025,"Temperature, Forecast, D-1",9.77396,01/04/2025 23:30:00,
31/03/2025 23:00:00,01/04/2025,"Temperature, Forecast, D-1",9.68626,01/04/2025 08:30:00,
30/03/2025 23:00:00,31/03/2025,"Temperature, Forecast, D-1",10.1638,31/03/2025 08:30:00,
29/03/2025 23:00:00,30/03/2025,"Temperature, Forecast, D-1",9.37811,30/03/2025 08:30:00,
28/03/2025 23:00:00,29/03/2025,"Temperature, Forecast, D-1",8.72518,28/03/2025 23:30:00,
27/03/2025 23:00:00,28/03/2025,"Temperature, Forecast, D-1",8.68669,27/03/2025 23:30:00,
26/03/2025 23:00:00,27/03/2025,"Temperature, Forecast, D-1",9.69189,26/03/2025 23:30:00,
25/03/2025 23:00:00,26/03/2025,"Temperature, Forecast, D-1",9.58748,25/03/2025 23:30:00,
24/03/2025 23:00:00,25/03/2025,"Temperature, Forecast, D-1",9.12928,24/03/2025 23:30:00,
23/03/2025 23:00:00,24/03/2025,"Temperature, Forecast, D-1",9.23386,23/03/2025 23:30:00,
22/03/2025 23:00:00,23/03/2025,"Temperature, Forecast, D-1",9.60045,22/03/2025 23:30:00,
21/03/2025 23:00:00,22/03/2025,"Temperature, Forecast, D-1",10.2846,21/03/2025 23:30:00,
20/03/2025 23:00:00,21/03/2025,"Temperature, Forecast, D-1",10.0732,20/03/2025 23:30:00,
19/03/2025 23:00:00,20/03/2025,"Temperature, Forecast, D-1",8.95652,19/03/2025 23:30:00,
18/03/2025 23:00:00,19/03/2025,"Temperature, Forecast, D-1",7.20802,18/03/2025 23:30:00,
17/03/2025 23:00:00,18/03/2025,"Temperature, Forecast, D-1",5.5833,17/03/2025 23:30:00,
16/03/2025 23:00:00,17/03/2025,"Temperature, Forecast, D-1",5.30892,16/03/2025 23:30:00,
15/03/2025 23:00:00,16/03/2025,"Temperature, Forecast, D-1",5.35584,15/03/2025 23:30:00,
14/03/2025 23:00:00,15/03/2025,"Temperature, Forecast, D-1",4.92451,14/03/2025 23:30:00,
13/03/2025 23:00:00,14/03/2025,"Temperature, Forecast, D-1",4.866,13/03/2025 23:30:00,
12/03/2025 23:00:00,13/03/2025,"Temperature, Forecast, D-1",4.9264,12/03/2025 23:30:00,
11/03/2025 23:00:00,12/03/2025,"Temperature, Forecast, D-1",5.47727,11/03/2025 23:30:00,
10/03/2025 23:00:00,11/03/2025,"Temperature, Forecast, D-1",6.53546,10/03/2025 23:30:00,
09/03/2025 23:00:00,10/03/2025,"Temperature, Forecast, D-1",8.40876,09/03/2025 23:30:00,
08/03/2025 23:00:00,09/03/2025,"Temperature, Forecast, D-1",9.54404,08/03/2025 23:30:00,
07/03/2025 23:00:00,08/03/2025,"Temperature, Forecast, D-1",9.26387,07/03/2025 23:30:00,
06/03/2025 23:00:00,07/03/2025,"Temperature, Forecast, D-1",8.45268,06/03/2025 23:30:00,
05/03/2025 23:00:00,06/03/2025,"Temperature, Forecast, D-1",7.59884,05/03/2025 23:30:00,
04/03/2025 23:00:00,05/03/2025,"Temperature, Forecast, D-1",6.15806,04/03/2025 23:30:00,
03/03/2025 23:00:00,04/03/2025,"Temperature, Forecast, D-1",5.42893,03/03/2025 23:30:00,
02/03/2025 23:00:00,03/03/2025,"Temperature, Forecast, D-1",5.36825,03/03/2025 01:39:01,L
01/03/2025 23:00:00,02/03/2025,"Temperature, Forecast, D-1",4.9256,01/03/2025 23:30:00,
28/02/2025 23:00:00,01/03/2025,"Temperature, Forecast, D-1",5.22849,28/02/2025 23:30:00,
27/02/2025 23:00:00,28/02/2025,"Temperature, Forecast, D-1",5.39255,27/02/2025 23:30:00,
26/02/2025 23:00:00,27/02/2025,"Temperature, Forecast, D-1",5.40252,26/02/2025 23:30:00,
25/02/2025 23:00:00,26/02/2025,"Temperature, Forecast, D-1",5.52764,25/02/2025 23:30:00,
24/02/2025 23:00:00,25/02/2025,"Temperature, Forecast, D-1",6.53497,24/02/2025 23:30:00,
23/02/2025 23:00:00,24/02/2025,"Temperature, Forecast, D-1",7.70212,23/02/2025 23:30:00,
22/02/2025 23:00:00,23/02/2025,"Temperature, Forecast, D-1",7.11527,22/02/2025 23:30:00,
21/02/2025 23:00:00,22/02/2025,"Temperature, Forecast, D-1",7.84535,21/02/2025 23:30:00,
20/02/2025 23:00:00,21/02/2025,"Temperature, Forecast, D-1",7.7698,20/02/2025 23:30:00,
19/02/2025 23:00:00,20/02/2025,"Temperature, Forecast, D-1",6.35089,19/02/2025 23:30:00,
18/02/2025 23:00:00,19/02/2025,"Temperature, Forecast, D-1",3.60978,18/02/2025 23:30:00,
17/02/2025 23:00:00,18/02/2025,"Temperature, Forecast, D-1",2.19611,17/02/2025 23:30:00,
16/02/2025 23:00:00,17/02/2025,"Temperature, Forecast, D-1",2.02157,16/02/2025 23:30:00,
15/02/2025 23:00:00,16/02/2025,"Temperature, Forecast, D-1",2.28755,15/02/2025 23:30:00,
