Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
04/04/2025 23:00:00,04/04/2025,"Temperature, Forecast, D",11.4737,04/04/2025 23:30:00,
03/04/2025 23:00:00,03/04/2025,"Temperature, Forecast, D",10.8281,04/04/2025 08:30:00,
02/04/2025 23:00:00,02/04/2025,"Temperature, Forecast, D",10.035,03/04/2025 08:30:00,
01/04/2025 15:00:00,01/04/2025,"Temperature, Forecast, D",9.67903,01/04/2025 23:30:00,
31/03/2025 23:00:00,31/03/2025,"Temperature, Forecast, D",10.2907,01/04/2025 08:30:00,
30/03/2025 23:00:00,30/03/2025,"Temperature, Forecast, D",9.78158,31/03/2025 08:30:00,
29/03/2025 23:00:00,29/03/2025,"Temperature, Forecast, D",8.73011,30/03/2025 08:30:00,
28/03/2025 23:00:00,28/03/2025,"Temperature, Forecast, D",8.79822,28/03/2025 23:30:00,
27/03/2025 23:00:00,27/03/2025,"Temperature, Forecast, D",9.53392,27/03/2025 23:30:00,
26/03/2025 23:00:00,26/03/2025,"Temperature, Forecast, D",9.68503,26/03/2025 23:30:00,
25/03/2025 23:00:00,25/03/2025,"Temperature, Forecast, D",9.11277,25/03/2025 23:30:00,
24/03/2025 23:00:00,24/03/2025,"Temperature, Forecast, D",8.94661,24/03/2025 23:30:00,
23/03/2025 23:00:00,23/03/2025,"Temperature, Forecast, D",9.23481,23/03/2025 23:30:00,
22/03/2025 23:00:00,22/03/2025,"Temperature, Forecast, D",10.3882,22/03/2025 23:30:00,
21/03/2025 23:00:00,21/03/2025,"Temperature, Forecast, D",9.89539,21/03/2025 23:30:00,
20/03/2025 23:00:00,20/03/2025,"Temperature, Forecast, D",9.24785,20/03/2025 23:30:00,
19/03/2025 23:00:00,19/03/2025,"Temperature, Forecast, D",7.2606,19/03/2025 23:30:00,
18/03/2025 23:00:00,18/03/2025,"Temperature, Forecast, D",5.71097,18/03/2025 23:30:00,
17/03/2025 23:00:00,17/03/2025,"Temperature, Forecast, D",5.06141,17/03/2025 23:30:00,
16/03/2025 23:00:00,16/03/2025,"Temperature, Forecast, D",5.30154,16/03/2025 23:30:00,
15/03/2025 23:00:00,15/03/2025,"Temperature, Forecast, D",4.9835,15/03/2025 23:30:00,
14/03/2025 23:00:00,14/03/2025,"Temperature, Forecast, D",5.1149,14/03/2025 23:30:00,
13/03/2025 23:00:00,13/03/2025,"Temperature, Forecast, D",4.90293,13/03/2025 23:30:00,
12/03/2025 23:00:00,12/03/2025,"Temperature, Forecast, D",5.51911,12/03/2025 23:30:00,
11/03/2025 23:00:00,11/03/2025,"Temperature, Forecast, D",6.61196,11/03/2025 23:30:00,
10/03/2025 23:00:00,10/03/2025,"Temperature, Forecast, D",8.10302,10/03/2025 23:30:00,
09/03/2025 23:00:00,09/03/2025,"Temperature, Forecast, D",9.67809,09/03/2025 23:30:00,
08/03/2025 23:00:00,08/03/2025,"Temperature, Forecast, D",9.6408,08/03/2025 23:30:00,
07/03/2025 23:00:00,07/03/2025,"Temperature, Forecast, D",8.8218,07/03/2025 23:30:00,
06/03/2025 23:00:00,06/03/2025,"Temperature, Forecast, D",7.8661,06/03/2025 23:30:00,
05/03/2025 23:00:00,05/03/2025,"Temperature, Forecast, D",6.32867,05/03/2025 23:30:00,
04/03/2025 23:00:00,04/03/2025,"Temperature, Forecast, D",5.78128,04/03/2025 23:30:00,
03/03/2025 23:00:00,03/03/2025,"Temperature, Forecast, D",5.56551,03/03/2025 23:30:00,
02/03/2025 23:00:00,02/03/2025,"Temperature, Forecast, D",5.18196,03/03/2025 01:39:01,L
01/03/2025 23:00:00,01/03/2025,"Temperature, Forecast, D",5.0408,01/03/2025 23:30:00,
28/02/2025 23:00:00,28/02/2025,"Temperature, Forecast, D",5.41493,28/02/2025 23:30:00,
27/02/2025 23:00:00,27/02/2025,"Temperature, Forecast, D",5.62601,27/02/2025 23:30:00,
26/02/2025 23:00:00,26/02/2025,"Temperature, Forecast, D",5.54401,26/02/2025 23:30:00,
25/02/2025 23:00:00,25/02/2025,"Temperature, Forecast, D",6.74998,25/02/2025 23:30:00,
24/02/2025 23:00:00,24/02/2025,"Temperature, Forecast, D",7.77583,24/02/2025 23:30:00,
23/02/2025 23:00:00,23/02/2025,"Temperature, Forecast, D",7.22162,23/02/2025 23:30:00,
22/02/2025 23:00:00,22/02/2025,"Temperature, Forecast, D",7.90708,22/02/2025 23:30:00,
21/02/2025 23:00:00,21/02/2025,"Temperature, Forecast, D",7.98587,21/02/2025 23:30:00,
20/02/2025 23:00:00,20/02/2025,"Temperature, Forecast, D",6.44887,20/02/2025 23:30:00,
19/02/2025 23:00:00,19/02/2025,"Temperature, Forecast, D",3.34871,19/02/2025 23:30:00,
18/02/2025 23:00:00,18/02/2025,"Temperature, Forecast, D",2.29815,18/02/2025 23:30:00,
17/02/2025 23:00:00,17/02/2025,"Temperature, Forecast, D",2.05394,17/02/2025 23:30:00,
16/02/2025 23:00:00,16/02/2025,"Temperature, Forecast, D",2.21907,16/02/2025 23:30:00,
15/02/2025 23:00:00,15/02/2025,"Temperature, Forecast, D",2.63454,15/02/2025 23:30:00,
14/02/2025 23:00:00,14/02/2025,"Temperature, Forecast, D",2.47921,14/02/2025 23:30:00,
13/02/2025 23:00:00,13/02/2025,"Temperature, Forecast, D",2.63855,13/02/2025 23:30:00,
12/02/2025 23:00:00,12/02/2025,"Temperature, Forecast, D",3.14677,12/02/2025 23:30:00,
11/02/2025 23:00:00,11/02/2025,"Temperature, Forecast, D",2.82281,11/02/2025 23:30:00,
10/02/2025 23:00:00,10/02/2025,"Temperature, Forecast, D",2.30608,10/02/2025 23:30:00,
09/02/2025 23:00:00,09/02/2025,"Temperature, Forecast, D",2.89999,09/02/2025 23:30:00,
08/02/2025 23:00:00,08/02/2025,"Temperature, Forecast, D",2.71202,08/02/2025 23:30:00,
07/02/2025 23:00:00,07/02/2025,"Temperature, Forecast, D",2.30008,07/02/2025 23:30:00,
06/02/2025 23:00:00,06/02/2025,"Temperature, Forecast, D",3.94972,06/02/2025 23:30:00,
05/02/2025 23:00:00,05/02/2025,"Temperature, Forecast, D",4.82346,05/02/2025 23:30:00,
